temperature,time
temperature,time
23.3,2020-02-21 21:00:28.855392
23.3,2020-02-21 21:00:30.069269
23.3,2020-02-21 21:00:31.281997
23.3,2020-02-21 21:00:32.497275
23.3,2020-02-21 21:00:33.718857
23.3,2020-02-21 21:00:34.940016
23.3,2020-02-21 21:00:36.151520
23.3,2020-02-21 21:00:37.368473
23.3,2020-02-21 21:00:38.583193
23.3,2020-02-21 21:00:39.800222
23.2,2020-02-21 21:00:41.020500
23.2,2020-02-21 21:00:42.241331
23.2,2020-02-21 21:00:43.464013
23.2,2020-02-21 21:00:44.673865
23.2,2020-02-21 21:00:45.883554
23.2,2020-02-21 21:00:47.123468
23.2,2020-02-21 21:00:48.347465
23.2,2020-02-21 21:00:49.573327
23.2,2020-02-21 21:00:50.785546
23.2,2020-02-21 21:00:51.997546
23.2,2020-02-21 21:00:53.213967
23.2,2020-02-21 21:00:54.451240
23.2,2020-02-21 21:00:55.665492
23.2,2020-02-21 21:00:56.878909
23.2,2020-02-21 21:00:58.095294
23.2,2020-02-21 21:00:59.486722
23.2,2020-02-21 21:01:00.729585
23.2,2020-02-21 21:01:01.963251
23.2,2020-02-21 21:01:03.173929
23.2,2020-02-21 21:01:04.389333
23.2,2020-02-21 21:01:05.609209
23.2,2020-02-21 21:01:06.829907
23.2,2020-02-21 21:01:08.042529
23.2,2020-02-21 21:01:09.262317
23.2,2020-02-21 21:01:10.474226
23.2,2020-02-21 21:01:11.688941
23.2,2020-02-21 21:01:12.903161
23.2,2020-02-21 21:01:14.116063
23.2,2020-02-21 21:01:15.355328
23.2,2020-02-21 21:01:16.569404
23.2,2020-02-21 21:01:17.784503
23.8,2020-02-21 21:01:19.011421
23.8,2020-02-21 21:01:20.228321
23.8,2020-02-21 21:01:21.450453
23.6,2020-02-21 21:01:22.665005
23.6,2020-02-21 21:01:23.877077
23.6,2020-02-21 21:01:25.087488
23.6,2020-02-21 21:01:26.299307
23.6,2020-02-21 21:01:27.516359
23.6,2020-02-21 21:01:28.739484
23.6,2020-02-21 21:01:29.954038
23.6,2020-02-21 21:01:31.165782
23.6,2020-02-21 21:01:32.387107
23.6,2020-02-21 21:01:33.604068
23.6,2020-02-21 21:01:34.817040
23.5,2020-02-21 21:01:36.031326
23.5,2020-02-21 21:01:37.248845
23.5,2020-02-21 21:01:38.468945
23.5,2020-02-21 21:01:39.685763
23.5,2020-02-21 21:01:40.901608
23.5,2020-02-21 21:01:42.122788
23.5,2020-02-21 21:01:48.512562
23.5,2020-02-21 21:01:49.724144
23.5,2020-02-21 21:01:50.942717
23.5,2020-02-21 21:01:52.159593
23.5,2020-02-21 21:01:53.370900
23.5,2020-02-21 21:01:54.582276
23.5,2020-02-21 21:01:55.793936
23.4,2020-02-21 21:01:57.008234
23.4,2020-02-21 21:01:58.231013
23.4,2020-02-21 21:01:59.659201
23.4,2020-02-21 21:02:00.874377
23.4,2020-02-21 21:02:02.091638
23.4,2020-02-21 21:02:03.313848
23.4,2020-02-21 21:02:04.523592
23.4,2020-02-21 21:02:05.740168
23.4,2020-02-21 21:02:06.949363
23.4,2020-02-21 21:02:08.172118
23.4,2020-02-21 21:02:09.395875
23.4,2020-02-21 21:02:10.607437
23.4,2020-02-21 21:02:11.830461
23.4,2020-02-21 21:02:13.045684
23.4,2020-02-21 21:02:14.262132
23.4,2020-02-21 21:02:15.480834
23.4,2020-02-21 21:02:16.701168
23.4,2020-02-21 21:02:17.911343
23.4,2020-02-21 21:02:19.134412
23.4,2020-02-21 21:02:20.350358
23.4,2020-02-21 21:02:21.559147
23.4,2020-02-21 21:02:22.772203
23.4,2020-02-21 21:02:24.063668
23.4,2020-02-21 21:02:25.274965
23.4,2020-02-21 21:02:26.492691
23.4,2020-02-21 21:02:27.707326
23.4,2020-02-21 21:02:28.927495
23.4,2020-02-21 21:02:30.145845
23.4,2020-02-21 21:02:31.362585
23.4,2020-02-21 21:02:32.573076
23.3,2020-02-21 21:02:33.786662
23.3,2020-02-21 21:02:35.003533
23.3,2020-02-21 21:02:36.220504
23.3,2020-02-21 21:02:37.435200
23.3,2020-02-21 21:02:38.650042
23.3,2020-02-21 21:02:39.872437
23.3,2020-02-21 21:02:41.085803
23.3,2020-02-21 21:02:42.309088
23.3,2020-02-21 21:02:43.520923
23.3,2020-02-21 21:02:44.734960
23.3,2020-02-21 21:02:45.952820
23.3,2020-02-21 21:02:47.180092
23.3,2020-02-21 21:02:48.418817
23.3,2020-02-21 21:02:49.630121
23.3,2020-02-21 21:02:50.852725
23.3,2020-02-21 21:02:52.063806
23.3,2020-02-21 21:02:53.309779
23.3,2020-02-21 21:02:54.523237
23.3,2020-02-21 21:02:55.747120
23.3,2020-02-21 21:02:56.958667
23.3,2020-02-21 21:02:58.174347
23.3,2020-02-21 21:03:04.400778
23.3,2020-02-21 21:03:05.616012
23.3,2020-02-21 21:03:06.831988
23.3,2020-02-21 21:03:08.047331
23.3,2020-02-21 21:03:09.274173
23.3,2020-02-21 21:03:10.495436
23.3,2020-02-21 21:03:11.714249
23.3,2020-02-21 21:03:12.937263
23.3,2020-02-21 21:03:14.154703
23.3,2020-02-21 21:03:15.410803
23.3,2020-02-21 21:03:16.636737
23.3,2020-02-21 21:03:22.868706
23.3,2020-02-21 21:03:24.087184
23.3,2020-02-21 21:03:25.308301
23.3,2020-02-21 21:03:26.521625
23.3,2020-02-21 21:03:27.733240
23.3,2020-02-21 21:03:28.943636
23.3,2020-02-21 21:03:30.167336
23.3,2020-02-21 21:03:31.388625
23.3,2020-02-21 21:03:32.593917
23.3,2020-02-21 21:03:33.812750
23.3,2020-02-21 21:03:35.035116
23.3,2020-02-21 21:03:36.245077
23.3,2020-02-21 21:03:37.467387
23.3,2020-02-21 21:03:38.685408
23.3,2020-02-21 21:03:39.903036
23.3,2020-02-21 21:03:41.116957
23.3,2020-02-21 21:03:42.345213
23.3,2020-02-21 21:03:43.557191
23.3,2020-02-21 21:03:44.769637
23.3,2020-02-21 21:03:45.986223
23.3,2020-02-21 21:03:47.203487
23.3,2020-02-21 21:03:48.425318
23.3,2020-02-21 21:03:49.641689
23.3,2020-02-21 21:03:50.855893
23.3,2020-02-21 21:03:52.069996
23.2,2020-02-21 21:03:53.281537
23.2,2020-02-21 21:03:54.493702
23.2,2020-02-21 21:03:55.710223
23.2,2020-02-21 21:03:56.922987
23.3,2020-02-21 21:03:58.141801
23.3,2020-02-21 21:03:59.500734
23.3,2020-02-21 21:04:00.733126
23.3,2020-02-21 21:04:01.949135
23.3,2020-02-21 21:04:03.166128
23.3,2020-02-21 21:04:04.388551
23.3,2020-02-21 21:04:05.597876
23.2,2020-02-21 21:04:06.814759
23.2,2020-02-21 21:04:08.026193
23.2,2020-02-21 21:04:09.239576
23.2,2020-02-21 21:04:10.455995
23.2,2020-02-21 21:04:11.679863
23.2,2020-02-21 21:04:12.892753
23.2,2020-02-21 21:04:14.115971
23.2,2020-02-21 21:04:15.334469
23.2,2020-02-21 21:04:16.546896
23.2,2020-02-21 21:04:17.763216
23.2,2020-02-21 21:04:18.990655
23.2,2020-02-21 21:04:20.378396
23.2,2020-02-21 21:04:21.593442
23.2,2020-02-21 21:04:22.816419
23.2,2020-02-21 21:04:24.033661
23.2,2020-02-21 21:04:25.245259
23.2,2020-02-21 21:04:26.467070
23.2,2020-02-21 21:04:27.678754
23.2,2020-02-21 21:04:28.911717
23.2,2020-02-21 21:04:30.129510
23.2,2020-02-21 21:04:31.345857
23.2,2020-02-21 21:04:32.562470
23.2,2020-02-21 21:04:33.777609
23.2,2020-02-21 21:04:34.987323
23.2,2020-02-21 21:04:36.219217
23.2,2020-02-21 21:04:37.439093
23.2,2020-02-21 21:04:38.661801
23.2,2020-02-21 21:04:39.877893
23.2,2020-02-21 21:04:41.092530
23.2,2020-02-21 21:04:42.313788
23.2,2020-02-21 21:04:43.524341
23.2,2020-02-21 21:04:44.732271
23.2,2020-02-21 21:04:45.947875
23.2,2020-02-21 21:04:47.163042
23.2,2020-02-21 21:04:48.381001
23.2,2020-02-21 21:04:49.598187
23.2,2020-02-21 21:04:50.828986
23.2,2020-02-21 21:04:52.052625
23.2,2020-02-21 21:04:53.268871
