temperature,humidity,time
23.7,19.4,2020-02-21 21:02:32.573076
23.7,19.4,2020-02-21 21:02:33.786662
23.7,19.3,2020-02-21 21:02:35.003533
23.7,19.4,2020-02-21 21:02:36.220504
23.7,19.4,2020-02-21 21:02:37.435200
23.7,19.3,2020-02-21 21:02:38.650042
23.7,19.4,2020-02-21 21:02:39.872437
23.7,19.4,2020-02-21 21:02:41.085803
23.7,19.3,2020-02-21 21:02:42.309088
23.7,19.3,2020-02-21 21:02:43.520923
23.7,19.3,2020-02-21 21:02:44.734960
23.7,19.3,2020-02-21 21:02:45.952820
23.7,19.3,2020-02-21 21:02:47.180092
23.7,19.4,2020-02-21 21:02:48.418817
23.7,19.3,2020-02-21 21:02:49.630121
23.7,19.4,2020-02-21 21:02:50.852725
23.7,19.4,2020-02-21 21:02:52.063806
23.7,19.3,2020-02-21 21:02:53.309779
23.7,19.3,2020-02-21 21:02:54.523237
23.7,19.3,2020-02-21 21:02:55.747120
23.7,19.3,2020-02-21 21:02:56.958667
23.7,19.3,2020-02-21 21:02:58.174347
23.7,19.3,2020-02-21 21:03:04.400778
23.7,19.3,2020-02-21 21:03:05.616012
23.7,19.3,2020-02-21 21:03:06.831988
23.7,19.3,2020-02-21 21:03:08.047331
23.7,19.3,2020-02-21 21:03:09.274173
23.7,19.3,2020-02-21 21:03:10.495436
23.7,19.3,2020-02-21 21:03:11.714249
23.7,19.3,2020-02-21 21:03:12.937263
23.7,19.3,2020-02-21 21:03:14.154703
23.7,19.3,2020-02-21 21:03:15.410803
23.7,19.3,2020-02-21 21:03:16.636737
23.7,21.8,2020-02-21 21:03:22.868706
23.7,22.1,2020-02-21 21:03:24.087184
23.7,22.1,2020-02-21 21:03:25.308301
23.7,21.7,2020-02-21 21:03:26.521625
23.7,21.3,2020-02-21 21:03:27.733240
23.7,20.9,2020-02-21 21:03:28.943636
23.7,20.5,2020-02-21 21:03:30.167336
23.7,20.2,2020-02-21 21:03:31.388625
23.7,20.1,2020-02-21 21:03:32.593917
23.7,19.9,2020-02-21 21:03:33.812750
23.7,19.8,2020-02-21 21:03:35.035116
23.7,19.7,2020-02-21 21:03:36.245077
23.7,19.6,2020-02-21 21:03:37.467387
23.7,19.6,2020-02-21 21:03:38.685408
23.7,19.5,2020-02-21 21:03:39.903036
23.7,19.5,2020-02-21 21:03:41.116957
23.7,19.5,2020-02-21 21:03:42.345213
23.7,19.5,2020-02-21 21:03:43.557191
23.7,19.5,2020-02-21 21:03:44.769637
23.7,19.5,2020-02-21 21:03:45.986223
23.7,19.4,2020-02-21 21:03:47.203487
23.7,19.5,2020-02-21 21:03:48.425318
23.7,19.5,2020-02-21 21:03:49.641689
23.7,19.4,2020-02-21 21:03:50.855893
23.7,19.5,2020-02-21 21:03:52.069996
23.7,19.4,2020-02-21 21:03:53.281537
23.7,19.4,2020-02-21 21:03:54.493702
23.7,19.4,2020-02-21 21:03:55.710223
23.7,19.4,2020-02-21 21:03:56.922987
23.7,19.4,2020-02-21 21:03:58.141801
23.7,19.4,2020-02-21 21:03:59.500734
23.7,19.4,2020-02-21 21:04:00.733126
23.7,19.4,2020-02-21 21:04:01.949135
23.7,19.4,2020-02-21 21:04:03.166128
23.7,19.4,2020-02-21 21:04:04.388551
23.7,19.5,2020-02-21 21:04:05.597876
23.7,19.4,2020-02-21 21:04:06.814759
23.7,19.4,2020-02-21 21:04:08.026193
23.7,19.4,2020-02-21 21:04:09.239576
23.7,19.4,2020-02-21 21:04:10.455995
23.7,19.4,2020-02-21 21:04:11.679863
23.6,19.4,2020-02-21 21:04:12.892753
23.7,19.3,2020-02-21 21:04:14.115971
23.7,19.3,2020-02-21 21:04:15.334469
23.7,19.3,2020-02-21 21:04:16.546896
23.7,19.3,2020-02-21 21:04:17.763216
23.7,19.3,2020-02-21 21:04:18.990655
23.7,19.3,2020-02-21 21:04:20.378396
23.7,19.3,2020-02-21 21:04:21.593442
23.7,19.3,2020-02-21 21:04:22.816419
23.7,19.3,2020-02-21 21:04:24.033661
23.6,19.4,2020-02-21 21:04:25.245259
23.6,19.4,2020-02-21 21:04:26.467070
23.7,19.4,2020-02-21 21:04:27.678754
23.6,19.3,2020-02-21 21:04:28.911717
23.6,19.3,2020-02-21 21:04:30.129510
23.7,19.3,2020-02-21 21:04:31.345857
23.6,19.3,2020-02-21 21:04:32.562470
